BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,Avg_S_len,Flesch,W_count,Noun_Cnt
pg10067,113.71298454631788,108.68685955394817,100.0321140946141,114.9262581168831,109.70964676950592,106.40727345790637,5048,13.77377179080824,73.0,69530,304
pg1032,102.48455537518038,116.67667748917748,110.64635421268075,108.52487947658402,108.47094281687303,111.4376209833527,911,19.69264544456641,-6.11,17940,92
pg10379,109.9371546475205,108.58082706766919,112.68783215429556,111.78783315078495,120.38642691996351,112.02003060230909,8891,17.13350579237431,78.42,152334,495
pg10473,105.86039910382017,103.31525015069319,102.90963431786217,116.00950834879407,111.56282396848437,107.9599946836789,8798,10.506137758581495,87.65,92433,571
pg105,119.79323057894487,103.53145943562609,108.38551174394549,124.49085240156667,111.50463218814282,110.01666666666668,3647,22.9514669591445,60.38,83704,277
pg10812,112.7314814814815,103.77342229635806,120.40475197585288,109.54461279461279,117.39801510546192,106.14718614718615,1065,16.694835680751172,74.42,17780,88
pg10826,116.66727445260052,109.0865469564449,104.78834260977119,107.50351636667426,121.2991385092449,112.42682198327358,1115,25.48071748878924,67.12,28411,391
pg108,111.05723129916679,106.1583694083694,100.41073709177158,97.6006844236011,106.3563921063921,111.80735511258769,7806,14.443889315910837,76.35,112749,782
pg10943,107.24583578287282,114.03700586107995,104.19092811949955,99.60181561208958,106.20833333333333,97.85205955660501,3074,13.353610930383864,76.45,41049,253
pg11004,104.89470650677548,121.6144117076953,108.6030257936508,109.6266100154989,123.06145031439148,116.83935998641881,8799,8.378111148994204,82.95,73719,1123
pg11005,102.69482159254886,112.77172040231743,116.0618296868297,114.57083859427608,107.38426053851586,106.34110865493844,8501,7.766380425832255,83.96,66022,831
pg11259,109.02869875222817,110.19604777938112,108.23125434236545,117.01201393635606,115.22877585377584,112.76780865490544,7299,9.610768598438142,88.16,70149,381
